Link_ID,SLA_Date,Last_Mile,Capacity_in_Mbps,Location,MRC_Excl,SLM_Comments,QRC_Incl,SLA_ID,Unique_Link_Identifier_SLA,Service_Provider,lat,lon
1750,2020-10-01,Fibre,90,Nairobi-Times Tower,270000.0,"16/04/2022: Upgraded 90 Mbps @ KES 649,050  -> 150 Mbps @ KES 810,000 ex vat",939600.0,2020-10-LTK00,2020-10-LTK00_1750,LTK,-1.2904051,36.8242254
5277,2020-10-01,Fibre,75,Nairobi-Times Tower,179718.0,Not in Invoice/Renamed/Relocated,625418.64,2020-10-LTK00,2020-10-LTK00_5277,LTK,-1.2904051,36.8242254
5611,2020-10-01,Fibre,8,Mombasa - Customs House,20642.5,Okay. No change,71835.9,2020-10-LTK00,2020-10-LTK00_5611,LTK,-4.05052,39.667169
20103,2020-10-01,Fibre,9,Wilson Airport,22950.0,Okay. No change,79866.0,2020-10-LTK00,2020-10-LTK00_20103,LTK,-1.3241212500000001,36.81124971616441
20954,2020-10-01,Fibre,20,Egerton University Njoro,50000.0,Okay. No change,174000.0,2020-10-LTK00,2020-10-LTK00_20954,LTK,-0.36856855,35.932295500583024
21195,2020-10-01,Fibre,80,Nairobi-Sameer Park,144000.0,"16/04/2022: Upgraded 16 Mbps @ KES 119,850 -> 80 Mbps @ KES 432,000 ex vat",501120.0,2020-10-LTK00,2020-10-LTK00_21195,LTK,-1.3299496,36.866407745062546
22727,2020-10-01,P2P,13,Icd Naivasha Sgr,32176.0,Not in Invoice/Renamed/Relocated,111972.48,2020-10-LTK00,2020-10-LTK00_22727,LTK,-6.831852850000001,39.239847457958255
22728,2020-10-01,Fibre,15,Nairobi - City Hall,38000.0,21/07/2023: Decommissioned and migrated to KRA Sameer Park MRI (C-00159-0087). Should not be invoiced.,132240.0,2020-10-LTK00,2020-10-LTK00_22728,LTK,-1.28661395,36.822002571898906
22729,2020-10-01,Fibre,10,Kajiado,19000.0,Not in Invoice/Renamed/Relocated ,66120.0,2020-10-LTK00,2020-10-LTK00_22729,LTK,-2.12171705,36.78625503675998
22730,2020-10-01,P2P,10,Narok,19000.0,24/04/2021: Decommissioned and migrated to JKIA Exports (SVC-000354038). Should not be invoiced.,66120.0,2020-10-LTK00,2020-10-LTK00_22730,LTK,-1.2779365500000002,35.47742284932569
22736,2020-10-01,Fibre,4,Nairobi,9500.0,24/04/2021: link relocated to swiss port JKIA,33060.0,2020-10-LTK00,2020-10-LTK00_22736,LTK,-1.2832533,36.8172449
23945,2020-10-01,Fibre,8,Jkia Terminal 2,20000.0,Okay. No change,69600.0,2020-10-LTK00,2020-10-LTK00_23945,LTK,-1.32953025,36.932626549999995
24174,2020-10-01,P2P,8,Kisumu,19000.0,Okay. No change,66120.0,2020-10-LTK00,2020-10-LTK00_24174,LTK,-0.1029109,34.7541761
25102,2020-10-01,P2P,30,Kitale,54000.0,"16/04/2022: Upgraded 8 Mbps @ KES 57,000 -> 30 Mbps @ KES 162,000 ex vat",187920.0,2020-10-LTK00,2020-10-LTK00_25102,LTK,1.018076,35.000236
25103,2020-10-01,Fibre,4,Lamu Airport,9500.0,Not in Invoice/Renamed/Relocated,33060.0,2020-10-LTK00,2020-10-LTK00_25103,LTK,-2.25515925,40.914686166492714
25104,2020-10-01,P2P,4,Kisumu Post Parcels (),9500.0,Not in Invoice/Renamed/Relocated,33060.0,2020-10-LTK00,2020-10-LTK00_25104,LTK,-0.1029109,34.7541761
25105,2020-10-01,Fibre,8,Kisumu Lake Basin Mall,19000.0,Not in Invoice/Renamed/Relocated,66120.0,2020-10-LTK00,2020-10-LTK00_25105,LTK,-0.06575485,34.77502401527315
25106,2020-10-01,Fibre,8,Kisumu Airport,19000.0,Okay. No change,66120.0,2020-10-LTK00,2020-10-LTK00_25106,LTK,-0.0869947,34.7383296
26045,2020-10-01,Fibre,15,Maralal,32176.0,Not in Invoice/Renamed/Relocated,111972.48,2020-10-LTK00,2020-10-LTK00_26045,LTK,1.1,36.7
26046,2020-10-01,Fibre,6,Mia Mombasa Baggage Hall,16088.0,08/06/2020: Invoices need to be updated to refer to 'Baggage Hall' and not 'KRA Mbita',55986.24,2020-10-LTK00,2020-10-LTK00_26046,LTK,-4.05052,39.667169
26047,2020-10-01,Fibre,15,Lodwar,32176.0,24/04/2021: Decommissioned and link relocated to JKIA Siginon (Code SVC-000354016). Should not be invoiced.,111972.48,2020-10-LTK00,2020-10-LTK00_26047,LTK,3.1165858,35.6022943
SVC-000001477,2020-10-01,Internet,30,Cbc Upper Hill,66700.0,"Upgraded to 300 MBPS @ KES 1,080,000 EX VAT, but no approval available",266933.4,2020-10-LTK00,2020-10-LTK00_SVC-000001477,LTK,-0.5949615,30.6685284
SVC-000001475,2020-10-01,Fibre,150,Nairobi-Times Tower,270000.0,"16/04/2022: Upgraded 40 Mbps @ KES 348,000  -> 150 Mbps @ KES 810,000 ex vat",939600.0,2020-10-LTK00,2020-10-LTK00_SVC-000001475,LTK,-1.2904051,36.8242254
C-00159-0087,,Fibre,80,Nairobi-Sameer Park,120000.0,"21/07/2023: Migrated from City Hall (22728) and upgraded to 80 Mbps @ KES 360,000 ex vat",417600.0,0000-00-LTK01,0000-00-LTK01_C-00159-0087,LTK,-1.3299496,36.866407745062546
SVC-000354016,,Fibre,15,Jkia Signon,32176.0,24/04/2021: Migrated from KRA Lodwar (26047),111972.48,0000-00-LTK01,0000-00-LTK01_SVC-000354016,LTK,-1.3169486,36.92885691400423
SVC-000354038,,P2P,10,Jkia Exports,19000.95,24/04/2021: Migrated from KRA Narok (22730),66123.31,0000-00-LTK01,0000-00-LTK01_SVC-000354038,LTK,-1.3169486,36.92885691400423
95054463,2020-12-16,MPLS,25,Bungoma,20352.8,Upgrade 5>25 Mbps. Check Upgrade Docs. KES 44997.2,70827.74,2020-12-Saf00,2020-12-Saf00_95054463,Saf,0.78292445,34.71916810731902
